ISO3,period,probability,era_mwtemp
ARG,1990-2020,0.9870129870129871,16.795871988932333
ARG,2021-2100,0.988011988011988,16.795871988932333
ARM,1990-2020,0,7.860902404785179
ARM,2021-2100,0,7.860902404785179
AUS,1990-2020,0.988011988011988,17.098280843098962
AUS,2021-2100,0.99000999000999,17.098280843098962
AUT,1990-2020,0,8.369546508789085
AUT,2021-2100,0.0029970029970029888,8.369546508789085
AZE,1990-2020,0.5244755244755244,13.450677490234398
AZE,2021-2100,0.6273726273726273,13.450677490234398
BDI,1990-2020,1,20.163067118326865
BDI,2021-2100,1,20.163067118326865
BEL,1990-2020,0.017982017982017935,10.875566101074241
BEL,2021-2100,0.0369630369630369,10.875566101074241
BEN,1990-2020,1,26.80139821370443
BEN,2021-2100,1,26.80139821370443
BFA,1990-2020,1,28.575413004557333
BFA,2021-2100,1,28.575413004557333
BGD,1990-2020,1,24.539086914062523
BGD,2021-2100,1,24.539086914062523
BGR,1990-2020,0.057942057942057916,11.22803649902346
BGR,2021-2100,0.09890109890109892,11.22803649902346
BHS,1990-2020,1,24.925558980305993
BHS,2021-2100,1,24.925558980305993
BIH,1990-2020,0.009990009990009988,10.41121317545577
BIH,2021-2100,0.033966033966033995,10.41121317545577
BLR,1990-2020,0,7.888337707519554
BLR,2021-2100,0,7.888337707519554
BLZ,1990-2020,1,24.836531575520837
BLZ,2021-2100,1,24.836531575520837
BOL,1990-2020,0.7862137862137862,14.549556986490927
BOL,2021-2100,0.833166833166833,14.549556986490927
BRA,1990-2020,1,22.653621927897177
BRA,2021-2100,1,22.653621927897177
BRN,1990-2020,1,26.35430043538412
BRN,2021-2100,1,26.35430043538412
BTN,1990-2020,0.6453546453546453,14.112420654296898
BTN,2021-2100,0.6623376623376622,14.112420654296898
BWA,1990-2020,1,21.451168314615927
BWA,2021-2100,1,21.451168314615927
CAF,1990-2020,1,25.98517252604171
CAF,2021-2100,1,25.98517252604171
CAN,1990-2020,0,5.82464497884115
CAN,2021-2100,0,5.82464497884115
CHE,1990-2020,0,8.378218587239587
CHE,2021-2100,0,8.378218587239587
CHL,1990-2020,0.4995004995004996,13.574884033203148
CHL,2021-2100,0.5564435564435565,13.574884033203148
CHN,1990-2020,0.7422577422577424,14.54860331217452
CHN,2021-2100,0.7742257742257741,14.54860331217452
CIV,1990-2020,1,25.590755716959677
CIV,2021-2100,1,25.590755716959677
CMR,1990-2020,1,24.57928365071615
CMR,2021-2100,1,24.57928365071615
COD,1990-2020,1,23.183066304524743
COD,2021-2100,1,23.183066304524743
COG,1990-2020,1,24.904036458333337
COG,2021-2100,1,24.904036458333337
COL,1990-2020,1,19.301853434244833
COL,2021-2100,1,19.301853434244833
CRI,1990-2020,1,21.03576812744143
CRI,2021-2100,1,21.03576812744143
CUB,1990-2020,1,25.39735819498702
CUB,2021-2100,1,25.39735819498702
CYP,1990-2020,1,19.51191864013674
CYP,2021-2100,1,19.51191864013674
CZE,1990-2020,0,8.889983113606775
CZE,2021-2100,0.0029970029970029888,8.889983113606775
DEU,1990-2020,0.004995004995004985,9.904646809895837
DEU,2021-2100,0.006993006993006995,9.904646809895837
DJI,1990-2020,1,28.251743570963583
DJI,2021-2100,1,28.251743570963583
DNK,1990-2020,0,9.547746276855491
DNK,2021-2100,0.0029970029970029888,9.547746276855491
DOM,1990-2020,1,24.28631744384768
DOM,2021-2100,1,24.28631744384768
DZA,1990-2020,0.983016983016983,17.218306477864587
DZA,2021-2100,0.9870129870129871,17.218306477864587
ECU,1990-2020,1,18.65831654866537
ECU,2021-2100,1,18.65831654866537
EGY,1990-2020,1,21.733811950683616
EGY,2021-2100,1,21.733811950683616
ESP,1990-2020,0.7822177822177823,14.945769246419275
ESP,2021-2100,0.8421578421578421,14.945769246419275
EST,1990-2020,0,6.845206197102868
EST,2021-2100,0,6.845206197102868
ETH,1990-2020,1,18.51978454589846
ETH,2021-2100,1,18.51978454589846
FIN,1990-2020,0,5.020285542805993
FIN,2021-2100,0,5.020285542805993
FJI,1990-2020,1,24.032571411132835
FJI,2021-2100,1,24.032571411132835
FLK,1990-2020,0,6.749724324544275
FLK,2021-2100,0,6.749724324544275
FRA,1990-2020,0.09090909090909094,11.859440104166708
FRA,2021-2100,0.1358641358641359,11.859440104166708
GAB,1990-2020,1,24.329311625162802
GAB,2021-2100,1,24.329311625162802
GBR,1990-2020,0.004995004995004985,10.298666890462243
GBR,2021-2100,0.005994005994005985,10.298666890462243
GEO,1990-2020,0.03296703296703302,10.238074239095056
GEO,2021-2100,0.09090909090909097,10.238074239095056
